,g=1.5%,g=2.0%,g=2.5%,g=3.0%,g=3.5%
WACC=7.5%,7.897341798185517,8.626988428349758,9.502564384546845,10.5727127754544,11.910398264088842
WACC=8.0%,7.121415831717291,7.727455077376499,8.443683276791923,9.303157116090434,10.353625141899725
WACC=8.5%,6.456452733823063,6.966405589978027,7.5613505888254835,8.264467405645204,9.10820758582887
WACC=9.0%,5.8802573814085335,6.314162809138498,6.814822918057685,7.398926378463408,8.089230468033804
WACC=9.5%,5.376183500576734,5.748963540785078,6.174997872451752,6.666575947451765,7.240083701618446
WACC=10.0%,4.931501650000068,5.2544854386636235,5.6205337324823175,6.038874639703682,6.521575686497566
WACC=10.5%,4.536311209912978,4.818246753437159,5.135424239901864,5.494892057895194,5.905712421316144
